gpu time [sec],0.0037
cpu time [sec],0.01
model size [MB],0.58
 
observableScores
mIoU dy,nan
mIoU fr,58.33
mIoU oc,3.81
mIoU fr&oc,31.07
[%],dy_est,fr_est , oc_est , un_est 
 dy_true ,nan,nan,nan,nan
 fr_true ,0.0,72.51,12.41,15.08
 oc_true ,0.0,50.2,28.04,21.76
 
hiddenScores
mIoU dy,nan
mIoU fr,31.17
mIoU oc,13.36
mIoU un,60.37
[%],dy_est, fr_est , oc_est , un_est 
 dy_true ,nan,nan,nan,nan
 fr_true ,0.0,46.19,16.6,37.21
 oc_true ,0.0,100.0,0.0,0.0
 un_true ,0.0,25.73,16.93,57.34
overall
mIoU dy,nan
mIoU fr,63.86
mIoU oc,14.15
mIoU un,55.34
