gpu time [sec],0.0039
cpu time [sec],0.0115
model size [MB],6.35
 
observableScores
mIoU dy,nan
mIoU fr,58.59
mIoU oc,3.37
mIoU fr&oc,30.98
[%],dy_est,fr_est , oc_est , un_est 
 dy_true ,nan,nan,nan,nan
 fr_true ,0.0,78.49,12.16,9.35
 oc_true ,0.0,46.07,35.1,18.83
 
hiddenScores
mIoU dy,nan
mIoU fr,36.34
mIoU oc,16.83
mIoU un,62.7
[%],dy_est, fr_est , oc_est , un_est 
 dy_true ,nan,nan,nan,nan
 fr_true ,0.0,51.92,18.35,29.73
 oc_true ,0.0,100.0,0.0,0.0
 un_true ,0.0,21.91,18.57,59.52
overall
mIoU dy,nan
mIoU fr,66.52
mIoU oc,16.8
mIoU un,58.31
