gpu time [sec],0.0042
cpu time [sec],0.0111
model size [MB],6.35
 
observableScores
mIoU dy,nan
mIoU fr,58.26
mIoU oc,3.53
mIoU fr&oc,30.9
[%],dy_est,fr_est , oc_est , un_est 
 dy_true ,nan,nan,nan,nan
 fr_true ,0.0,75.91,13.2,10.89
 oc_true ,0.0,42.2,35.22,22.58
 
hiddenScores
mIoU dy,nan
mIoU fr,35.47
mIoU oc,16.66
mIoU un,63.73
[%],dy_est, fr_est , oc_est , un_est 
 dy_true ,nan,nan,nan,nan
 fr_true ,0.0,49.44,17.76,32.8
 oc_true ,0.0,100.0,0.0,0.0
 un_true ,0.0,20.2,16.75,63.05
overall
mIoU dy,nan
mIoU fr,65.18
mIoU oc,16.52
mIoU un,58.43
