gpu time [sec],0.0037
cpu time [sec],0.0102
model size [MB],1.74
 
observableScores
mIoU dy,nan
mIoU fr,58.02
mIoU oc,3.7
mIoU fr&oc,30.86
[%],dy_est,fr_est , oc_est , un_est 
 dy_true ,nan,nan,nan,nan
 fr_true ,0.0,73.94,14.06,12.0
 oc_true ,0.0,45.55,32.43,22.01
 
hiddenScores
mIoU dy,nan
mIoU fr,34.39
mIoU oc,14.82
mIoU un,61.21
[%],dy_est, fr_est , oc_est , un_est 
 dy_true ,nan,nan,nan,nan
 fr_true ,0.0,48.4,18.83,32.78
 oc_true ,0.0,100.0,0.0,0.0
 un_true ,0.0,24.39,19.02,56.6
overall
mIoU dy,nan
mIoU fr,65.54
mIoU oc,15.31
mIoU un,56.7
