gpu time [sec],0.0036
cpu time [sec],0.0101
model size [MB],1.74
 
observableScores
mIoU dy,nan
mIoU fr,55.53
mIoU oc,3.73
mIoU fr&oc,29.63
[%],dy_est,fr_est , oc_est , un_est 
 dy_true ,nan,nan,nan,nan
 fr_true ,0.0,79.0,11.95,9.06
 oc_true ,0.0,52.95,29.7,17.36
 
hiddenScores
mIoU dy,nan
mIoU fr,33.91
mIoU oc,13.69
mIoU un,54.81
[%],dy_est, fr_est , oc_est , un_est 
 dy_true ,nan,nan,nan,nan
 fr_true ,0.0,54.13,17.69,28.17
 oc_true ,0.0,100.0,0.0,0.0
 un_true ,0.0,31.02,19.09,49.89
overall
mIoU dy,nan
mIoU fr,65.54
mIoU oc,14.34
mIoU un,52.08
