gpu time [sec],0.0037
cpu time [sec],0.0099
model size [MB],1.74
 
observableScores
mIoU dy,nan
mIoU fr,58.62
mIoU oc,3.79
mIoU fr&oc,31.2
[%],dy_est,fr_est , oc_est , un_est 
 dy_true ,nan,nan,nan,nan
 fr_true ,0.0,73.52,13.78,12.69
 oc_true ,0.0,46.48,31.64,21.88
 
hiddenScores
mIoU dy,nan
mIoU fr,33.44
mIoU oc,14.21
mIoU un,60.27
[%],dy_est, fr_est , oc_est , un_est 
 dy_true ,nan,nan,nan,nan
 fr_true ,0.0,47.29,18.16,34.54
 oc_true ,0.0,100.0,0.0,0.0
 un_true ,0.0,24.12,18.12,57.76
overall
mIoU dy,nan
mIoU fr,65.9
mIoU oc,14.94
mIoU un,56.44
