gpu time [sec],0.0036
cpu time [sec],0.0101
model size [MB],1.74
 
observableScores
mIoU dy,nan
mIoU fr,55.77
mIoU oc,3.88
mIoU fr&oc,29.82
[%],dy_est,fr_est , oc_est , un_est 
 dy_true ,nan,nan,nan,nan
 fr_true ,0.0,77.04,12.68,10.28
 oc_true ,0.0,50.11,30.66,19.23
 
hiddenScores
mIoU dy,nan
mIoU fr,34.0
mIoU oc,14.08
mIoU un,56.49
[%],dy_est, fr_est , oc_est , un_est 
 dy_true ,nan,nan,nan,nan
 fr_true ,0.0,52.41,17.71,29.88
 oc_true ,0.0,100.0,0.0,0.0
 un_true ,0.0,29.68,18.52,51.79
overall
mIoU dy,nan
mIoU fr,65.25
mIoU oc,14.72
mIoU un,53.11
