gpu time [sec],0.0036
cpu time [sec],0.0116
model size [MB],9.78
 
observableScores
mIoU dy,nan
mIoU fr,59.09
mIoU oc,3.71
mIoU fr&oc,31.4
[%],dy_est,fr_est , oc_est , un_est 
 dy_true ,nan,nan,nan,nan
 fr_true ,0.0,77.53,10.97,11.5
 oc_true ,0.0,43.08,34.06,22.86
 
hiddenScores
mIoU dy,nan
mIoU fr,36.34
mIoU oc,16.77
mIoU un,64.7
[%],dy_est, fr_est , oc_est , un_est 
 dy_true ,nan,nan,nan,nan
 fr_true ,0.0,49.22,16.09,34.69
 oc_true ,0.0,100.0,0.0,0.0
 un_true ,0.0,16.96,14.77,68.27
overall
mIoU dy,nan
mIoU fr,66.2
mIoU oc,16.94
mIoU un,59.41
