gpu time [sec],0.0036
cpu time [sec],0.0104
model size [MB],3.67
 
observableScores
mIoU dy,nan
mIoU fr,57.7
mIoU oc,3.27
mIoU fr&oc,30.49
[%],dy_est,fr_est , oc_est , un_est 
 dy_true ,nan,nan,nan,nan
 fr_true ,0.0,77.25,12.08,10.67
 oc_true ,0.0,46.93,32.74,20.33
 
hiddenScores
mIoU dy,nan
mIoU fr,34.78
mIoU oc,15.2
mIoU un,61.19
[%],dy_est, fr_est , oc_est , un_est 
 dy_true ,nan,nan,nan,nan
 fr_true ,0.0,49.7,17.25,33.05
 oc_true ,0.0,100.0,0.0,0.0
 un_true ,0.0,21.69,16.43,61.88
overall
mIoU dy,nan
mIoU fr,65.35
mIoU oc,15.22
mIoU un,56.76
